,Event_Name,Venue,Event_Date,Number_of_Attendees
0,"Cityfox 2018 NYE & NYD: Dixon, Lee Burridge, The Martinez Brothers, Recondite & Many More at Avant Gardner",Avant Gardner,2018-01-01,2700
1,The Grand Ball: presented by Zero & House of Yes at The 1896,The 1896,2018-01-01,340
2,Unter 2018 at Nowadays,Nowadays,2018-01-01,211
3,Victor Calderone (NYD) at Knockdown Center,Knockdown Center,2018-01-01,202
4,ReSolute New Year's Day Extravaganza at TBA - New York,TBA - New York,2018-01-01,149
5,New Year's Day - Oscar G/ Benny Soto b2b Mike Nervous at Output at Output,Output,2018-01-01,123
6,718 Sessions New Years Day Party-2018 at Good Room,Good Room,2018-01-01,76
7,Day One: Bedouin New Year Day presented by Zero & House of Yes at The 1896,The 1896,2018-01-01,67
8,"Cityfox 2018 NYD: Lee Burridge, The Martinez Brothers & More (see Event on December 31) at Avant Gardner",Avant Gardner,2018-01-01,39
9,"Boris, Guti (Live), Caleb Calloway - Day One: New Years Day 2018 at Schimanski",Schimanski,2018-01-01,7
10,Jonathan Peters New Years Eve After Party at Freq NYC 2018 at FREQ,FREQ,2018-01-01,5
11,"Nevermind at TBA - Buffalo, Buffalo/Rochester","TBA - Buffalo, Buffalo/Rochester",2018-01-01,31
12,Techno Bangs: New Year's Day at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-01-01,7
13,"Day 1 Static Membership After Hours presents: NYC Legends Manny Ward, Keoki & Johnny Vicious at TBA - New York",TBA - New York,2018-01-01,5
14,"The Get Down NYD ft Tasha Blank, Desert Dwellers & More at House Of Yes",House Of Yes,2018-01-01,1
0,"Boris, Guti (Live), Caleb Calloway - Day One: New Years Day 2018 at Schimanski",Schimanski,2018-01-02,7
1,Static Membership Pop Up After Hours Music By: Benny Soto b2b Mike Nervous & Miguel Casimiro at TBA - New York,TBA - New York,2018-01-02,6
2,Tuesday Creatures with David Berrie / Steven Letigre at TBA Brooklyn,TBA Brooklyn,2018-01-02,5
3,Tuesday Creatures with David Berrie / Steven Letigre at TBA Brooklyn,TBA Brooklyn,2018-01-02,3
4,"JD Samson, Lauren Flax & Amber Valentine at Le Bain",Le Bain,2018-01-02,2
5,"The Get Down NYD ft Tasha Blank, Desert Dwellers & More at House Of Yes",House Of Yes,2018-01-02,1
6,Feel Real presents House City Grooves at Rumpus Room,Rumpus Room,2018-01-02,1
0,Momentum/Rite of Wed: Bodywork / Hunter Vita / Nathan Kersaint at TBA Brooklyn,TBA Brooklyn,2018-01-03,6
1,Distrikt 1 at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-01-03,6
2,DDD at Le Bain,Le Bain,2018-01-03,2
3,Lovebreak at Common Ground Bar,Common Ground Bar,2018-01-03,1
4,Back Once Again and Again and Again at TBA - New York,TBA - New York,2018-01-03,1
0,Frendzone! // Dorisburg (Live) / Octo Octa / Kellam Matthews / Beaner at Good Room,Good Room,2018-01-04,70
1,The Juan Maclean & Friends Month Long Residency at Rose Gold,Rose Gold,2018-01-04,6
2,"Cultivated Sound presents: Grant Aaron, M Parent, Maŕa Cult at TBA Brooklyn",TBA Brooklyn,2018-01-04,22
3,Dancing Room Only / Residency Launch / David Paglia x Jon Martin at Black Flamingo,Black Flamingo,2018-01-04,18
4,"Yuki, Monchan, Moon and Butter at Nowadays",Nowadays,2018-01-04,11
5,Synthicide // 4 Year Anniversary at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-01-04,6
6,Clean Break Round 2 at Home Sweet Home,Home Sweet Home,2018-01-04,4
7,Mambo Miam Miam at Soho Grand Hotel,Soho Grand Hotel,2018-01-04,3
8,Paris Paris with Palmish and Thomas Delta at The Black Lodge,The Black Lodge,2018-01-04,2
9,Thursday's at Blind Barber,Blind Barber,2018-01-04,2
10,ZZ at Le Bain,Le Bain,2018-01-04,2
11,Space In The Living Room vol. 10 with Guest Jen Orlando at Jupiter Disco,Jupiter Disco,2018-01-04,1
12,Back Once Again and Again and Again at TBA - New York,TBA - New York,2018-01-04,1
13,Dirty Thursday: New Wave Night at House Of Yes,House Of Yes,2018-01-04,1
14,"Cancelled yes&yay presents: Church Service - Ɖelfic, Shane, Sudo at Macao Trading Company",Macao Trading Company,2018-01-04,1
0,"Mall Grab, Onkel-S, Nasty Nigel, Phoneg1rl, Andrew Devlin at Good Room",Good Room,2018-01-05,375
1,Aurora Halal All Night at Nowadays,Nowadays,2018-01-05,72
2,"Simon Heyliger, M.P.C. / Mario Polanco, Michael Magnan, Tad Haes at Elsewhere",Elsewhere,2018-01-05,53
3,NYC Next - Jean Pierre/ Pablo Romero/ Alex Raouf/ Connie/ Cartel Twins/ Andrew Licata at Output,Output,2018-01-05,13
4,"Frisson with Ray Zuniga, Remove Hyphen, Joe Foxton at TBA Brooklyn",TBA Brooklyn,2018-01-05,7
5,Bushwick A/V: 3 Kings Day with Alkalina/ K.O./ Jay Prouty/ Paglia at Studio 299,Studio 299,2018-01-05,7
6,Feed Your Soul - Lohrasp Kansara & Friends at Cielo,Cielo,2018-01-05,1
7,"JACK DEPT. NYC - DJ Lisa Frank, Jaqi Sparro, Volvox & John Barera at Bossa Nova Civic Club",Bossa Nova Civic Club,2018-01-05,28
8,Broke City: Gene Tellem & DJ Voices at Jupiter Disco,Jupiter Disco,2018-01-05,15
9,"VHVL, Gryphon Rue & Benton C Bainbridge at H0L0",H0L0,2018-01-05,4
10,"Above - Sleepy & Boo, Mafia B, Dysco, Z3N Master at Mccarren Hotel Rooftop",Mccarren Hotel Rooftop,2018-01-05,4
11,"Ciarra Black with Via App, Motiv-a, E-Saggila at The Mercury Lounge",The Mercury Lounge,2018-01-05,3
12,Red Light Secrets Friday Morning After Hours Music By: Merritt at TBA - New York,TBA - New York,2018-01-05,3
13,Techno Bangs at Tilt BK,Tilt BK,2018-01-05,2
14,"HOY 2 Year Anniversary Pt 1 ft David Kiss, Lauren Flax, Mira Fahrenheit, DJ Whitney Fierce at House Of Yes",House Of Yes,2018-01-05,2
15,Justin Vandervolgen all Night at Le Bain,Le Bain,2018-01-05,2
16,Wifiog at The Third Man,The Third Man,2018-01-05,1
17,Africainoir with Lexis x Teleseen x Selecta K7 at Black Flamingo,Black Flamingo,2018-01-05,1
18,Geo Vanasco At Studio Square at Studio Square Loft,Studio Square Loft,2018-01-05,1
19,Ladies Night at Fusion Fridays at Fusion Lounge Astoria,Fusion Lounge Astoria,2018-01-05,1
20,Central Fridays: Xermane at Central Bar & Lounge,Central Bar & Lounge,2018-01-05,1
21,Recess at The Twenty,The Twenty,2018-01-05,1
0,The Bunker 15 Year Anniversary at Elsewhere,Elsewhere,2018-01-06,537
1,"Denis Sulta, Asquith, JDH, Bearcat, The Duchess at Good Room",Good Room,2018-01-06,60
2,"ID presents: Sunrise Epiphany with Gescu, Mihigh, OZ + Friends at TBA - Brooklyn",TBA - Brooklyn,2018-01-06,54
3,Techno Wars (a Tribute to Star Wars) at Cielo,Cielo,2018-01-06,24
4,Anthony Naples and D J ' J at Nowadays,Nowadays,2018-01-06,22
5,"Frequencies with Sleepy & Boo, the Florist + Happy Hour at TBA Brooklyn",TBA Brooklyn,2018-01-06,17
6,Bushwick A/V Afterhours: Tano/ Hardcandy/ Darelectric/ Bytz at Studio 299,Studio 299,2018-01-06,3
7,Karizma/ Harry Romero/ Junior Sanchez at Output and One-Five-Six in The Panther Room at Output,Output,2018-01-06,9
8,RAW Static Membership Saturday Morning After Hours Music By: Simon Heyliger at TBA - New York,TBA - New York,2018-01-06,5
9,Kinklab at NS-FW at TBA - Brooklyn,TBA - Brooklyn,2018-01-06,5
10,"VHVL, Gryphon Rue & Benton C Bainbridge at H0L0",H0L0,2018-01-06,4
11,Midnight Society presents: New Resolutions at Tilt BK,Tilt BK,2018-01-06,2
12,"HOY 2 Year Anniversary Pt 2 ft Eli Escobar, NSR, Playsuit, Ryan Clover at House Of Yes",House Of Yes,2018-01-06,2
13,The No Comprendo at Le Bain,Le Bain,2018-01-06,2
14,Stray Current Records with Jacques Renault x Fatik x D. Briggs at Black Flamingo,Black Flamingo,2018-01-06,1
15,Rhythmic Winter at H0L0,H0L0,2018-01-06,1
16,"Jordi Iven b2b Tunico, Xander Oliver at Doux",Doux,2018-01-06,1
17,Quiet Clubbing at Cantina Rooftop,Cantina Rooftop,2018-01-06,1
18,Listening Series: Playing Spaces at Storefront for Art and Architecture,Storefront for Art and Architecture,2018-01-06,
19,Rhythmic Winter at H0L0,H0L0,2018-01-06,
0,Planetarium with Eamon Harkin Djing and Will Shore Playing Live at Nowadays,Nowadays,2018-01-07,41
1,Lifted (Launch) with Lauren Ritter at TBA Brooklyn,TBA Brooklyn,2018-01-07,3
2,Sintastic Static Membership After Hours present: Das Bruno at TBA - New York,TBA - New York,2018-01-07,3
3,Temisan Adoki (DJ Set) with Rfid at Flowers For All Occasions,Flowers For All Occasions,2018-01-07,2
4,Tony Touch & Mrvoodoo Ray - Funkboxnyc at Cielo,Cielo,2018-01-07,2
5,No Techno Sundays at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-01-07,2
6,Omar Raven Live at Halcyon The Shop,Halcyon The Shop,2018-01-07,2
7,Int'l Winners at H0l0 with Moma Ready at H0L0,H0L0,2018-01-07,1
0,Industry Nights Feat. RA RE Records at TBA Brooklyn,TBA Brooklyn,2018-01-08,7
1,Shhh Static Monday Morning Membership After Hours Music By: Patrick Dunn at TBA - New York,TBA - New York,2018-01-08,4
2,Lifted (Launch) with Lauren Ritter at TBA Brooklyn,TBA Brooklyn,2018-01-08,3
3,"13th Hour presents! Wig-Wam, Corazon de Melon, Nick Benson at Bossa Nova Civic Club",Bossa Nova Civic Club,2018-01-08,3
4,Konkrete Jungle Origination at The Delancey,The Delancey,2018-01-08,2
5,"Dean Machine, Frank Locrasto, Wood River, Shwilson at Threes Brewing",Threes Brewing,2018-01-08,1
0,Tempo with Pablo Romero (Open to Close) at TBA Brooklyn,TBA Brooklyn,2018-01-09,5
1,Remedy with Paul Fleetwood / Amourette / Maroje T at Jupiter Disco,Jupiter Disco,2018-01-09,3
2,Keep Away From Children at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-01-09,3
3,Feel Real presents Sounds You Can Feel at Rumpus Room,Rumpus Room,2018-01-09,1
0,House of Vogue at House Of Yes,House Of Yes,2018-01-10,1
1,Momentum RoW: Francis Harris / Salt & Pepper / The House Cartel at TBA Brooklyn,TBA Brooklyn,2018-01-10,19
2,Exile: Craft / daasnomem / Dees / Taylor Hawks / A.M.D at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-01-10,3
3,Lovebreak! Wednesdays at Common Ground Bar,Common Ground Bar,2018-01-10,2
0,Juan Maclean & Jacques Renault At Rose Gold at Rose Gold,Rose Gold,2018-01-11,21
1,"Paris Paris with Palmish, Thomas Delta, Patrick Dunn and Steph at The Black Lodge",The Black Lodge,2018-01-11,9
2,Kervyn Mark at Nowadays,Nowadays,2018-01-11,6
3,"Kiss & Tell: R Gamble, Sagotsky, SPRKLBB at Bossa Nova Civic Club",Bossa Nova Civic Club,2018-01-11,6
4,National Underground Family Reunion  at Kind Regards,Kind Regards,2018-01-11,6
5,Dancing Room Only with Jellybean Benitez & Rissa Garcia at Black Flamingo,Black Flamingo,2018-01-11,5
6,Simonsays with Chris Sanabria / Leo Mele / K1W1 / Rob Erto at TBA Brooklyn,TBA Brooklyn,2018-01-11,4
7,Cody Currie X Martín Miguel X Higgins at Jupiter Disco,Jupiter Disco,2018-01-11,3
8,Dance Dungeon: Deejay Xanax b2b X-Coast at Tilt BK,Tilt BK,2018-01-11,1
9,"Up All Night with New Klash City // John Creamer, Russ John Gold, Noam Rubinstein at Louie & Chan",Louie & Chan,2018-01-11,1
10,"yes&yay presents: Church Service - Lush, Trotter, Nico Kass at Macao Trading Company",Macao Trading Company,2018-01-11,1
0,Miki Beach NYC 'Fundraiser' with Miyagi More at Schimanski,Schimanski,2018-01-12,138
1,"Jubilee presents Magic City with Jimmy Edgar, Volvox & More at Elsewhere",Elsewhere,2018-01-12,75
2,Mika Vainio Tribute at Film Noir Cinema,Film Noir Cinema,2018-01-12,42
3,Analog Soul All Night at Nowadays,Nowadays,2018-01-12,17
4,"FIXED with JDH & Dave P, Justin Strauss & Billy Caldwell at Good Room",Good Room,2018-01-12,14
5,One Night in Brooklyn with Beaner / Ben Steidel / Carlos Alkalina at TBA Brooklyn,TBA Brooklyn,2018-01-12,11
6,Afterhours: Bushwick A/V with Derek Marin / Negk / Burchan / Gio Gulez at Studio 299,Studio 299,2018-01-12,10
7,Shadow Zone 004: Trisicloplox & Tygris Debut at The Brown Note,The Brown Note,2018-01-12,5
8,"Soup - Love & Logic, US, Pinto, More at Cielo",Cielo,2018-01-12,4
9,Bijou and Lo99 at Schimanski,Schimanski,2018-01-12,2
10,"Metamorph: Evigt Mörker, Soramimi, & Taylor Hawks at Jupiter Disco",Jupiter Disco,2018-01-12,16
11,"The Bunker with Bryan Kasenic, Ken Meier, LDY OSC. at Bossa Nova Civic Club",Bossa Nova Civic Club,2018-01-12,16
12,Deep Sugar NYC 'Over Me' Remixes Release Party at Le Bain,Le Bain,2018-01-12,14
13,Retromatica with Marvin & Guy at House Of Yes,House Of Yes,2018-01-12,14
14,LPH with Jacques Renault & Jex Opolis at El Cortez / The Safari Room,El Cortez / The Safari Room,2018-01-12,10
15,Red Light Secrets Friday Morning After Hours Music By: The Wig at TBA - New York,TBA - New York,2018-01-12,4
16,Lost Soul Enterprises / Spiricom Tapes: 'Type One Error' Compilation Release Party at H0L0,H0L0,2018-01-12,4
17,"Above - Rustyfarian, Roddy, Chris Patrick, Cliff Gerdes at Mccarren Hotel Rooftop",Mccarren Hotel Rooftop,2018-01-12,4
18,Good Looks presents - Oliver/ Jenaux/ QRTR/ Jergo and Dancing Pineapple Takeover at Output,Output,2018-01-12,3
19,Shen Yun 2018 World Tour at David H. Koch Theater,David H. Koch Theater,2018-01-12,2
20,"Solidisco Live at Central (Astoria, Queens) at Central Bar & Lounge",Central Bar & Lounge,2018-01-12,2
21,Flashback Friday with Geo Vanasco at Living Room,Living Room,2018-01-12,2
22,Amir x Bamboozle x Dreamcast (Live) at Black Flamingo,Black Flamingo,2018-01-12,2
23,The Jook Jam with Special Guest UKI at The Emerson,The Emerson,2018-01-12,1
24,DJ Kass Live at Fusion Lounge Astoria,Fusion Lounge Astoria,2018-01-12,1
0,"Mind Against, Vaal & Christian Voldstad (Teksupport_OTB) at The 1896",The 1896,2018-01-13,416
1,"Chus & Ceballos, Oscar G, Theo, Jason Ojeda at Stereo Garden LI",Stereo Garden LI,2018-01-13,235
2,Matthew Dekay presented by Stranger Than; Elevation at The Paper Box,The Paper Box,2018-01-13,136
3,"ReSolute with Piticu, Taimur, & Mari.te at TBA - Brooklyn",TBA - Brooklyn,2018-01-13,129
4,The Carry Nation: January 2018 at Good Room,Good Room,2018-01-13,90
5,Doc Martin b2b Joeski/ Alan Nieves and Douglas Sherman/ Takaya Nagase at Output,Output,2018-01-13,79
6,Mister Saturday Night at Nowadays,Nowadays,2018-01-13,73
7,"Kunst with DJs Eli Escobar, Amber Valentine, Ryan Burke at Elsewhere",Elsewhere,2018-01-13,56
8,"EGG London 15 Years World Tour with Matador, DESNA, Espinal & Nova at Analog Bkny",Analog Bkny,2018-01-13,49
9,"Goonroom presents: Damiano von Erckert (NYC Debut), Barbie Bertisch, Day Cart & Wig-Wam at 96 Morgan Ave",96 Morgan Ave,2018-01-13,47
10,"REDUX presents Patrick Russell at TBA - Buffalo, Buffalo/Rochester","TBA - Buffalo, Buffalo/Rochester",2018-01-13,45
11,Jeremy Olander at Schimanski,Schimanski,2018-01-13,35
12,Mika Vanio Tribute (2nd Show) at Film Noir Cinema,Film Noir Cinema,2018-01-13,34
13,Soulection 7 Year Anniversary Official Afterparty at Studio 299,Studio 299,2018-01-13,14
14,"Illusion - Sleepy & Boo, Erika Mysti, & Shane at Cielo",Cielo,2018-01-13,12
15,Afterhours: Bushwick A/V: A.Arias/ Henry Chow/ JM De Frias/ Bytz at Studio 299,Studio 299,2018-01-13,10
16,Groove. with Simon Heyliger / CGC / Miguel Ortiz at TBA Brooklyn,TBA Brooklyn,2018-01-13,8
17,Deepbeats // Deep House Yoga at House Of Yes,House Of Yes,2018-01-13,4
18,The Sound Of Tomorrow: Soulection 7 Year Anniversary at Brooklyn Steel,Brooklyn Steel,2018-01-13,9
19,RAW Static Membership Saturday Morning After Hours Music By: US + Special Guest at TBA - New York,TBA - New York,2018-01-13,7
20,Private Pleasure with Party Dad and Private Panther at Black Flamingo,Black Flamingo,2018-01-13,6
21,whiplash: Justin Strauss / Matpat at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-01-13,6
22,afrokinetic at Le Bain,Le Bain,2018-01-13,3
23,Shen Yun 2018 World Tour at David H. Koch Theater,David H. Koch Theater,2018-01-13,2
24,Sweet Tooth at Secret Loft,Secret Loft,2018-01-13,2
25,Quiet Clubbing at Cantina Rooftop,Cantina Rooftop,2018-01-13,2
26,Glitterati with Razor-N-Tape at House Of Yes,House Of Yes,2018-01-13,2
27,"Rekert - Toribio, Joe Bronson, Project Matt at Jupiter Disco",Jupiter Disco,2018-01-13,2
28,Glow Party  at SL Lounge NY,SL Lounge NY,2018-01-13,1
0,Horse Meat Disco - MLK Weekend at Output,Output,2018-01-14,659
