,Event_Name,Venue,Event_Date,Number_of_Attendees
0,Innervisions New York at Knockdown Center,Knockdown Center,2019-05-17,706
1,Headless Horseman Live / Vatican Shadow / Volvox / Becka Diamond at BASEMENT,BASEMENT,2019-05-17,255
2,Friday: PLO Man All Night at Nowadays,Nowadays,2019-05-17,101
3,ReSolute w Move D & Flabbergast at TBA - New York,TBA - New York,2019-05-17,70
4,Material 17: Nico Laa at Hart bar,Hart bar,2019-05-17,26
5,Full Moon with Sébastien Léger at House Of Yes,House Of Yes,2019-05-17,21
6,"Museum of Love (DJ set), L&l&l Record Club Plus Spiritual Mental Physical at Good Room",Good Room,2019-05-17,13
7,Pete Rock at Analog Bkny,Analog Bkny,2019-05-17,12
8,"Just Blaze, Matt FX and Trillnatured at Elsewhere",Elsewhere,2019-05-17,9
9,"Rendezvous with Sons of Immigrants, Arvi, CGC at TBA Brooklyn",TBA Brooklyn,2019-05-17,7
10,"Easy with Will Buck, Jordan James and Wilki at Elsewhere",Elsewhere,2019-05-17,3
11,Schimanski presents: Soup NYC vs Ill Behavior at Schimanski,Schimanski,2019-05-17,3
12,Afterhours - Bushwick A/V: Velasco / Cafuné / Sid Vaga at Polygon BK,Polygon BK,2019-05-17,3
13,"D'Noir AM feat. Sashi, Mitchell & Cleveland at Polygon BK",Polygon BK,2019-05-17,2
14,Rakim Y Ken Y Live Club 2019 (18 to Party) at Club X-Kandalo (Formerly the Avalon/Newburgh Skate Park),Club X-Kandalo (Formerly the Avalon/Newburgh Skate Park),2019-05-17,1
15,Call Super + CCL at public records,public records,2019-05-17,46
16,Egyptian Lover at Le Bain,Le Bain,2019-05-17,29
17,"Eamon & Justin, Soul Summit, Analog Soul, and More at TBA - Brooklyn",TBA - Brooklyn,2019-05-17,22
18,Satori & The Band From Space: Live in Concert at National Sawdust,National Sawdust,2019-05-17,20
19,Nycxdesign Urban Imprint Launch Party at A/D/O,A/D/O,2019-05-17,8
20,"Sleepy & Boo, Dpak Manny Digz, Flowmingo - Nublu Classic at Nublu",Nublu,2019-05-17,6
21,Technofeminism at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-17,4
22,Origins NY: 012 at Escondido,Escondido,2019-05-17,3
